domain,available,confidence,methods
domaindecode.com,True,50.0,"whois, socket"
domainmapper.com,True,50.0,"whois, socket"
ipsherlock.com,True,100.0,"dns, socket"
iptrail.com,True,66.66666666666666,"whois, dns, socket"
ipview.com,True,66.66666666666666,"whois, dns, socket"
netscan.com,True,50.0,"whois, socket"
netsleuth.com,True,50.0,"whois, socket"
whoiswho.com,True,50.0,"whois, socket"
dnsresolver.com,False,0.0,"whois, dns, socket"
domainanalyzer.com,False,0.0,"whois, dns, socket"
domaincheck.com,False,0.0,"whois, dns, socket"
domaindata.com,False,0.0,"whois, dns, socket"
domaindeep.com,False,0.0,"whois, dns, socket"
domaindetective.com,False,0.0,"whois, dns, socket"
domaindig.com,False,0.0,"whois, dns, socket"
domaindigger.com,False,0.0,"whois, dns, socket"
domaindive.com,False,0.0,"whois, dns, socket"
domaindna.com,False,0.0,"whois, dns, socket"
domainlens.com,False,0.0,"whois, dns, socket"
domainpeek.com,False,0.0,"whois, dns, socket"
domainprobe.com,False,0.0,"whois, dns, socket"
domainspot.com,False,0.0,"whois, dns, socket"
ipcompass.com,False,0.0,"whois, dns, socket"
ipfinder.com,False,0.0,"whois, dns, socket"
ipinfo.com,False,0.0,"whois, dns, socket"
ipinsider.com,False,0.0,"whois, dns, socket"
iplocator.com,False,0.0,"whois, dns, socket"
iplookup.com,False,0.0,"whois, dns, socket"
ipresolver.com,False,0.0,"whois, dns, socket"
ipreveal.com,False,0.0,"whois, dns, socket"
ipscan.com,False,0.0,"whois, dns, socket"
ipscout.com,False,0.0,"whois, dns, socket"
iptracer.com,False,0.0,"whois, dns, socket"
iptrack.com,False,0.0,"whois, dns, socket"
netfinder.com,False,0.0,"whois, dns, socket"
netgaze.com,False,0.0,"whois, dns, socket"
nethound.com,False,0.0,"whois, dns, socket"
netidentify.com,False,0.0,"whois, dns, socket"
netinfo.com,False,0.0,"whois, dns, socket"
netinspect.com,False,0.0,"whois, dns, socket"
netmap.com,False,0.0,"whois, dns, socket"
netoracle.com,False,0.0,"whois, dns, socket"
netquery.com,False,0.0,"whois, dns, socket"
netregistry.com,False,0.0,"whois, dns, socket"
netspy.com,False,0.0,"whois, dns, socket"
nettrace.com,False,0.0,"whois, dns, socket"
netwise.com,False,0.0,"whois, dns, socket"
whogoeswhere.com,False,0.0,"whois, dns, socket"
whois.com,False,0.0,"whois, dns, socket"
whoissearch.com,False,0.0,"whois, dns, socket"
